,dates,postcode,street,title,Year
346,15th - 23rd September 2018,WC2N 5DW,London,"
The London Design Festival ",2018
347,Sunday 15th September 2019,SW11 4NJ,"Albert Bridge Road, Battersea Park","
Wanderlust 108 ",2018
348,16th September 2018,N1C 4AA,Good's Way,"
Art Car Boot Fair ",2018
349,Sunday 29th September 2019,EC2P 2EJ,Gresham Street,"
Pearly Kings and Queens Harvest Festival ",2018
350,16th - 19th September 2018,TW8 8JF,"London Road, Brentford","
Decorex International ",2018
351,17th September - 20th October 2018,WC2H 0HH,2 Charing Cross Road,"
Katherine Ryan: Glitter Room ",2018
352,18th September - 19th January 2019,SE1 8XZ,South Bank,"
Antony and Cleopatra ",2018
353,18th - 22nd September 2018,TW9 1QJ,"The Green, Surrey","
Still Alice ",2018
354,18th - 30th September 2018,E17 7JH,Walthamstow Town Square,"
HighTide Festival ",2018
355,19th - 22nd September 2018,W14 8UX,Hammersmith Road,"
100% Design ",2018
356,19th September - 18th January 2019,NW1 4LE,"11 St Andrews Place, Regent's Park","
This Vexed Question: 500 Years Of Women In Medicine ",2018
357,20th - 29th September 2018,EC1R 4TN,Rosebery Avenue,"
English National Ballet: Lest We Forget ",2018
358,20th - 23rd September 2018,SE1 9PH,"Bargehouse Street, Off Upper Ground","
Designjunction ",2018
359,21st September - 19th January 2019,WC2N 4AU,St Martin's Lane,"
The Inheritance: Part 1 ",2018
360,21st - 22nd September 2018,SE1 6DR,42 Newington Causeway,"
Kraft Beer Oktoberfest ",2018
361,Various Venues,WC2N 5DW,London,"
Open House London ",2018
362,22nd - 23rd September 2018,SE1 8XX,Belvedere Road,"
Darbar Festival ",2018
363,22nd - 23rd September 2018,NW3 7JR,"Hampstead Lane, Hampstead","
HowTheLightGetsIn Festival ",2018
364,22nd September 2018,E2 9DY,29-32 The Oval,"
Goose Island LDN Block Party ",2018
365,22nd September 2018,N4 1EE,Endymion Road,"
Hospitality in the Park ",2018
366,27th - 28th April 2019,W3 9BQ,2 Museum Way,"
London Transport Museum's Depot Open Weekend - Moving London ",2018
367,Sunday 22nd September 2019,W4 2RP,Burlington Lane,"
Chiswick House Dog Show ",2018
368,25th September - 06th January 2019,SW1P 4RG,Millbank,"
The Turner Prize 2018 ",2018
369,26th September - 28th October 2018,E1 8JB,"Graces Alley, Off Ensign Street","
James Graham's Sketching ",2018
370,26th - 27th September 2018,SE10 0BB,Peninsula Square,"
Kylie ",2018
371,26th September - 21st October 2018,WC2N 5DW,London,"
Dance Umbrella ",2018
372,26th September - 07th October 2018,SW1Y 4LR,19 Lower Regent Street,"
Raindance Film Festival ",2018
373,26th September - 06th January 2019,SE1 8XZ,Belvedere Road,"
Space Shifters ",2018
374,26th September - 27th January 2019,SE21 7AD,"Gallery Road, Dulwich Village","
Ribera: Art of Violence ",2018
375,27th September - 28th October 2018,E15 2EE,Olympic Park,"
Erdinger Oktoberfest ",2018
376,27th September - 13th January 2019,E1 7QX,77-82 Whitechapel High Street,"
Elmgreen & Dragset: This Is How We Bite Our Tongue ",2018
377,28th September 2018,EC2Y 8DS,Silk Street,"
The Joy of Sake ",2018
378,Saturday 6th July 2019,SW7 2AP,Kensington Gore,"
Hacienda Classical ",2018
379,28th September - 24th November 2018,WC2H 9LD,"41 Earlham Street, Seven Dials","
Measure for Measure ",2018
380,28th - 30th September 2018,WC2N 5DW,London,"
Barnes Film Festival ",2018
381,28th September - 13th January 2019,SW3 4SQ,"Duke of York's Square, King's Road","
Black Mirror ",2018
382,28th September - 19th January 2019,WC2N 4AU,St Martin's Lane,"
The Inheritance: Part 2 ",2018
383,29th September - 10th December 2018,W1J 0BD,Burlington House,"
Oceania ",2018
384,29th September 2018,EC2Y 8DS,Silk Street,"
Professor Brian Cox presents The Planets ",2018
385,30th September 2018,SE10 0BB,Peninsula Square,"
Soft Cell ",2018
386,26th September - 30th March 2019,W1D 6AR,Shaftesbury Avenue,"
Company ",2018
0,01st - 02nd March 2019,EC1R 4TN,Rosebery Avenue,"
Richard Alston Dance Company: Quartermark ",2019
1,01st - 31st March 2019,W4 2RP,Burlington Lane,"
Chiswick House Camellia Festival ",2019
2,3rd March to 2nd June 2019,W1J 0BD,Burlington House,"
The Renaissance Nude ",2019
3,04th - 09th March 2019,TW9 1QJ,"The Green, Surrey","
Art ",2019
4,05th - 09th March 2019,EC1R 4TN,Rosebery Avenue,"
BalletBoyz: Them/Us ",2019
5,5th March to 8th June 2019,SW1Y 4DN,6 Panton Street,"
Betrayal ",2019
6,6th March to 23rd June 2019,W1U 3BN,"Hertford House, Manchester Square","
Henry Moore: The Helmet Heads ",2019
7,06th - 21st March 2019,EC2M 4WY,9 Devonshire Square,"
House of Holi ",2019
8,7th March to 27th May 2019,WC2H 0HE,St Martin's Place,"
Only Human: Photographs by Martin Parr ",2019
9,07th - 10th March 2019,SW11 4NJ,Battersea Park,"
Affordable Art Fair Battersea Spring 2019 ",2019
10,08th - 09th March 2019,SE1 8XX,Belvedere Road,"
WOW - Women of the World ",2019
11,8th March to 2nd June 2019,W1F 7LW,16-18 Ramillies Street,"
Deutsche Borse Photography Prize 2019 ",2019
12,8th March to 15th June 2019,WC2R 0NH,404 Strand,"
Emilia ",2019
13,10th - 11th March 2019,WC2R 3DA,180 The Strand,"
Raw Wine Fair ",2019
14,12th March 2019,EC1R 4TN,Rosebery Avenue,"
CONTEXT Festival ",2019
15,12th March - 27th April 2019,SE1 9PX,"National Theatre, South Bank","
Downstate ",2019
16,14th - 17th March 2019,EC2Y 8DS,Silk Street,"
Ballet Black: Double Bill ",2019
17,14th - 17th March 2019,E1 6QL,91 Brick Lane,"
The Other Art Fair ",2019
18,14th March - 13th April 2019,SE1 6BD,77-85 Newington Causeway,"
The Rubenstein Kiss ",2019
19,14th March to 4th May 2019,SE1 1RU,53 Southwark Street,"
The Bay At Nice ",2019
20,17th March 2019,SE1 8XX,Belvedere Road,"
David Gray ",2019
21,18th March to 7th July 2019,WC2N 5DN,Trafalgar Square,"
Sorolla: Spanish Master of Light ",2019
22,18th March - 12th April 2019,SW11 5TN,Lavender Hill,"
Homegrown Festival: Occupy ",2019
23,19th March - 20th April 2019,NW3 3EU,Eton Avenue,"
The Phlebotomist ",2019
24,20th - 30th March 2019,W11 3LB,103 Notting Hill Gate,"
Saburo Teshigawara's The Idiot ",2019
25,21st March - 28th April 2019,SE1 2HZ,"147 Tooley Street, More London","
The Show In Which Hopefully Nothing Happens ",2019
26,21st March - 22nd April 2019,WC2E 9DD,Bow Street,"
Royal Opera: La Forza Del Destino ",2019
27,21st March to 15th June 2019,WC2N 5DE,Northumberland Avenue,"
Fiddler On The Roof ",2019
28,22nd March to 7th July 2019,NW1 2DB,96 Euston Road,"
The New Londoners ",2019
29,23rd March to 19th May 2019,W2 3XA,Kensington Gardens,"
Emma Kunz ",2019
30,25th - 31st March 2019,SW7 2AP,Kensington Gore,"
Teenage Cancer Trust Series ",2019
31,25th March - 13th April 2019,EC2Y 8DS,Silk Street,"
Grief Is The Thing With Feathers ",2019
32,28th - 31st March 2019,E1 6QL,91 Brick Lane,"
The London Coffee Festival ",2019
33,26th March - 22nd April 2019,SE1 9PX,South Bank,"
Top Girls ",2019
34,27th March to 11th August 2019,SW1P 4RG,Millbank,"
The EY Exhibition: Van Gogh and Britain ",2019
35,27th March - 29th April 2019,W1S 1FX,"St George Street, Hanover Square","
London Handel Festival ",2019
36,27th March - 07th April 2019,WC2E 9DD,Bow Street,"
Royal Opera: Berenice ",2019
37,28th - 31st March 2019,WC2N 5DW,London,"
Re-Textured Festival ",2019
38,28th - 31st March 2019,N22 7AY,"Alexandra Palace Way, Wood Green","
Country Living Spring Fair ",2019
39,29th March to 11th May 2019,W6 0QA,"Lyric Square, 2 King Street","
Ghost Stories ",2019
40,29th March to 30th June 2019,W1D 7EJ,"22-32 Shaftesbury Avenue, Trocadero","
Crystal Maze LIVE Experience West End ",2019
41,30th March 2019,SW6 3JD,Between Fulham and Putney,"
Head of the River Race ",2019
42,30th March 2019,NW1 8EH,Chalk Farm Road,"
The Zutons ",2019
43,30th March 2019,SE1 8XX,Belvedere Road,"
Stewart Copeland Lights Up The Orchestra ",2019
44,31st March 2019,WC2N 4ES,St Martin's Lane,"
Russian Ballet Icons Gala 2019 ",2019
45,19th April to 28th September 2019,NW1 8AH,"Stables Market, Chalk Farm Road","
Wonderfest Rooftop ",2019
46,01st - 21st April 2019,EC3A 8EP,"The Gherkin, 30 St Mary Axe","
William Curley at The Gherkin ",2019
47,02nd - 14th April 2019,WC2N 5DW,London,"
London Games Festival ",2019
48,2nd April to 20th September 2019,NW1 4LE,"11 St Andrews Place, Regent's Park","
Catch Your Breath ",2019
49,03rd - 27th April 2019,SW1W 8AS,Sloane Square,"
Pah-La ",2019
50,04th - 06th April 2019,SE1 7NN,10 Leake Street,"
Cocktails In The City ",2019
51,04th - 13th April 2019,EC1R 4TN,Rosebery Avenue,"
English National Ballet: She Persisted ",2019
52,4th April to 3rd August 2019,SW1E 5JA,12 Palace Street,"
Toast ",2019
53,04th - 07th April 2019,SE1 9PH,"Oxo Tower Wharf, Barge House Street","
Roy's People Art Fair ",2019
54,5th April 2019 to 5th January 2020,EC2Y 5HN,150 London Wall,"
Beasts of London ",2019
55,5th April to 14th July 2019,NW1 2DB,96 Euston Road,"
Imaginary Cities ",2019
56,5th April to 29th September 2019,SE1 8XX,"Jubilee Gardens, Belvedere Road","
Underbelly Festival ",2019
57,5th April to 15th May 2019,W1S 3DX,29 Sackville Street,"
Oliver Jeffers: Observations on Modern Life ",2019
58,06th - 22nd April 2019,SW7 2DD,Exhibition Road,"
Power UP ",2019
59,6th April to 8th June 2019,WC2H 9LD,"41 Earlham Street, Seven Dials","
Sweet Charity ",2019
60,6th April 2019 to 16th February 2020,SW7 2RL,Cromwell Road,"
Mary Quant ",2019
61,6th April to 11th May 2019,SE1 2SG,3 Potters Fields Park,"
A German Life ",2019
62,06th - 14th April 2019,WC2R 1LA,Strand,"
Now Play This ",2019
63,07th April 2019,E1 5AR,Buxton Street,"
Oxford vs Cambridge Goat Race ",2019
64,07th April 2019,SW6 3JD,Between Fulham and Putney,"
Oxford v Cambridge Boat Races ",2019
65,08th - 13th April 2019,TW9 1QJ,"The Green, Surrey","
The House On Cold Hill ",2019
66,09th - 14th April 2019,SW11 4NJ,Battersea Park,"
The Spring Decorative Antiques and Textiles Fair ",2019
67,10th April 2019,N1 2NS,"21 Canonbury Place, Islington","
Scotch Egg Challenge ",2019
68,11th April to 21st July 2019,WC1B 3DG,Great Russell Street,"
Edvard Munch: love and angst ",2019
69,11th April to 15th September 2019,NW1 2BE,183 Euston Road,"
Smoke and Mirrors: The Psychology of Magic ",2019
70,11th April to 6th May 2019,W2 2AR,"West Carriage Drive, Kensington Gardens","
Hito Steyerl: Power Plants ",2019
71,13th April 2019,SE15 3SN,133 Copeland Road,"
Hot Sauce Society ",2019
72,13th - 14th April 2019,E1 6QL,91 Brick Lane,"
The London Artisan ",2019
73,13th April to 27th October 2019,TW9 3AB,"Kew, Richmond","
Chihuly at Kew: Reflections on nature ",2019
74,14th April 2019,SE10 0BB,Peninsula Square,"
Becoming: An Evening With Michelle Obama ",2019
75,15th April to 8th June 2019,SE1 8NB,103 The Cut,"
All My Sons ",2019
76,16th - 17th April 2019,EC1R 4TN,Rosebery Avenue,"
Damien Jalet & Kohei Nawa: Vessel ",2019
77,16th April 2019,EC2Y 8DS,Silk Street,"
Merce Cunningham: Night of 100 Solos ",2019
78,9th April to 2nd June 2019,SE1 7NN,10 Leake Street,"
Dinner is Coming ",2019
79,18th April to 23rd June 2019,SE1 8XX,"Jubilee Gardens, Belvedere Road","
Little Death Club ",2019
80,19th - 20th April 2019,EC1R 4TN,Rosebery Avenue,"
Sadler's Wells Family Weekend ",2019
81,20th April 2019,WC2N 5DS,Central London,"
Feast of St George in Trafalgar Square ",2019
82,24th - 28th April 2019,WC2N 5DW,London,"
Marylebone Food Festival ",2019
83,25th - 28th April 2019,W1J 0BD,Burlington House,"
London Original Print Fair ",2019
84,26th April to 17th September 2019,W8 6AG,224-238 Kensington High Street,"
Stanley Kubrick: The Exhibition ",2019
85,26th April to 27th August 2019,NW1 2DB,96 Euston Road,"
Writing: Making Your Mark ",2019
86,26th April to 1st June 2019,NW3 3EU,Eton Avenue,"
Jude ",2019
87,27th April 2019,SW2 1RJ,"1 Town Hall Parade, Brixton Hill","
Brixton Disco Festival ",2019
88,27th April 2019,WC2N 5DS,Central London,"
Vaisakhi Festival 2019 ",2019
89,27th - 28th April 2019,W3 9BQ,2 Museum Way,"
London Transport Museum's Depot Open Weekend - Love Your Line ",2019
90,27th April to 12th May 2019,EC2Y 8DS,Silk Street,"
Avalanche: A Love Story ",2019
91,28th April 2019,SW1Y 5AH,Westminster,"
The London Marathon ",2019
92,24th April to 20th July 2019,WC2N 4BG,St Martins Lane,"
Rosmersholm ",2019
93,26th April to 8th June 2019,WC2N 4ES,St Martin's Lane,"
Man of La Mancha ",2019
94,1st May to 29th June 2019,SE1 8LZ,66 The Cut,"
Death of a Salesman ",2019
95,2nd May to 2nd October 2019,SW1Y 4QQ,St James's,"
John Smedley: 235 ",2019
96,2nd to 10th May 2019,SE10 0BB,Peninsula Square,"
Take That ",2019
97,2nd May to 4th October 2019,EC2A 3JX,1-5 Curtain Road,"
Queen of Hoxton Rooftop: Las Mexicanas ",2019
98,"2nd, 3rd and 4th May 2019",E1 0ND,43 White Horse Road,"
The Flying Bath ",2019
99,3rd to 19th May 2019,SW18 4ES,356 Garratt Lane,"
Wandsworth Arts Fringe ",2019
100,"3rd, 4th and 5th May 2019",EC1R 4TN,Rosebery Avenue,"
Breakin' Convention ",2019
101,"3rd, 4th, 5th and 6th May 2019",N1C 4AA,"West Handyside Canopy, One Wharf Road","
Gin Under the Canopy ",2019
102,"4th, 5th and 6th May 2019",W2 1TH  ,Maida Vale,"
Canalway Cavalcade ",2019
103,Saturday 4th and Sunday 5th May 2019,EC2M 7QH,Walthamstow,"
Queen's Yard Summer Party ",2019
104,Saturday 4th May 2019,XX1 0LL,London,"
The Tweed Run ",2019
105,"4th, 5th and 6th May 2019",HA9 0WS,London,"
Colourscape at Wembley Park ",2019
106,4th to 12th May 2019,E16 1XL,"One Western Gateway, Royal Victoria Dock","
Grand Designs Live ",2019
107,Sunday 5th and Monday 6th May 2019,W1K 2HP,London,"
The May Fair ",2019
108,06th May - 23rd August 2019,SE1 9DT,"21 New Globe Walk, Bankside","
The Comedy Of Errors ",2019
109,Tuesday 7th May 2019,EC1R 4TN,Rosebery Avenue,"
English National Ballet: Emerging Dancer ",2019
110,7th May to 1st June 2019,W1D 5DH,29 Greek Street,"
Jeffrey Bernard is Unwell ",2019
111,Various Venues,WC2N 5DW,London,"
London Craft Week ",2019
112,8th to 21st May 2019,WC2E 9DD,Bow Street,"
Within the Golden Hour / New Sidi Larbi Cherkaoui / Flight Pattern ",2019
113,"9th, 10th, 11th and 12th May 2019",NW3 1TH,East Heath Road,"
Affordable Art Fair Hampstead ",2019
114,"9th, 10th and 11th May 2019",SW19 1QG,The Broadway,"
In The Willows ",2019
115,"10th, 11th and 12th May 2019",E1 6QL,91 Brick Lane,"
Balance Festival ",2019
116,10th May to 15th June 2019,SW1W 8AS,Sloane Square,"
White Pearl ",2019
117,Friday 10th and Saturday 11th May 2019,SW3 4SQ,"Duke of York's Square, King's Road","
Stella Live ",2019
118,10th May - 04th August 2019,N1 2DN,14 Dagmar Passage,"
The Slightly Annoying Elephant ",2019
119,11th May to 3rd August 2019,W1D 7DY,16 Denman Street,"
The Lehman Trilogy ",2019
120,Saturday 11th May 2019,NW1 8EH,Chalk Farm Road,"
The Greatest Spectacle of Lucha Libre ",2019
121,Saturday 11th and Sunday 12th May 2019,SW8 4NN,"Circus West, Sopwith Way","
We Love Cheese ",2019
122,Saturday 11th and Sunday 12th May 2019,SW13 9SA,London,"
Barnes Children's Literature Festival ",2019
123,Saturday 11th May 2019,W1U 5BA,"St Marylebone Parish Church Grounds, Marylebone High Street","
Cabbages and Frocks: Dog Day Afternoon ",2019
124,11th May to 2nd June 2019,SE1 2HZ,"147 Tooley Street, More London","
Dido ",2019
125,13th May to 28th July 2019,SW3 5ED,197 King's Road,"
The Ivy Chelsea Garden Flower Meadow ",2019
126,Various Venues,WC2N 5DW,London,"
Sci-Fi-London Festival ",2019
127,25th May to 2nd June 2019,SE21 7BQ,College Road,"
Luna Kids Cinema: Dulwich Park ",2019
128,"15th, 16th, 18th and 20th May 2019 - 7.45pm",WC2E 9DD,"Bow Street, Covent Garden","
Royal Opera: Jette Parker Young Artists: Phaedra ",2019
129,16th May to 8th June 2019,NW1 4NR,"Inner Circle, Regent's Park","
Our Town ",2019
130,16th May to 10th August 2019,WC2H 0DA,Charing Cross Road,"
The Starry Messenger ",2019
131,16th May to 26th August 2019,EC2Y 8DS,Silk Street,"
AI: More Than Human ",2019
132,17th May to 12th October 2019 - Various Times,SE1 9DT,"21 New Globe Walk, Bankside","
The Merry Wives Of Windsor ",2019
133,17th May to 8th September 2019,SW7 5BD,Cromwell Road,"
Museum of the Moon ",2019
134,Saturday 18th May 2019,W6 9QH,45 Queen Caroline Street,"
Strictly Come Dancing: The Professionals ",2019
135,Saturday 18th May 2019,W1F 7TF,8 Argyll Street,"
Katherine Jenkins ",2019
136,18th May 2019 to 18th May 2020,TW9 3AB,"Kew, Richmond","
Kew Children's Garden ",2019
137,18th May to 20th October 2019,SW7 2RL,Cromwell Road,"
Food: Bigger than the Plate ",2019
138,Sunday 19th May 2019,E2 8LS,Weymouth Terrace,"
Midcentury East ",2019
139,20th to 25th May 2019,SW1W 9NF,London,"
Belgravia in Bloom ",2019
140,20th May - 09th June 2019,WC2E 9DD,Bow Street,"
Royal Opera: Andrea Chenier ",2019
141,"21st, 22nd and 23rd May 2019",EC1M 4DA,"St. Johns Gate, 26 St. John's Lane, Clerkenwell","
Clerkenwell Design Week ",2019
142,21st May to 15th June 2019,W6 0QA,"Lyric Square, 2 King Street","
Dead Dog in a Suitcase (and other love songs) ",2019
143,21st to 25th May 2019,SW3 4SR,Royal Hospital Road,"
RHS Chelsea Flower Show ",2019
144,21st May to 16th June 2019,WC2A 2HT,Portugal Street,"
Beats on Pointe ",2019
145,21st May to 13th June 2019,EC1V 7EZ,101 Goswell Road,"
Fritz Hansen: Shaping Reality Through Time ",2019
146,"22nd, 23rd, 24th and 25th May 2019",SW19 1QG,The Broadway,"
Amelie ",2019
147,23rd May to 26th August 2019,WC1B 3DG,Great Russell Street,"
Manga ",2019
148,From 24th May 2019,W8 4PX,Kensington Gardens,"
Victoria: Woman and Crown ",2019
149,24th May to 27th October 2019,E14 4AL,"No 1 Warehouse, West India Quay","
Secret Rivers ",2019
150,24th May to 2nd June 2019,E3 5SN,"Grove Road, Tower Hamlets","
All Points East ",2019
151,24th May to 1st September 2019,WC1N 1AZ,40 Brunswick Square,"
Hogarth & The Art of Noise ",2019
152,24th May to 13th October 2019,SW1A 1AA,Birdcage Walk,"
Leonardo da Vinci: A Life In Drawing ",2019
153,24th May 2019 to 31st May 2020,WC2E 7BB,39 Wellington Street,"
Untangling the Tracks ",2019
154,From 24th May 2019,W8 4PX,Kensington Gardens,"
Victoria: A Royal Childhood ",2019
155,"25th, 26th and 27th May 2019",E1 6DW,1 Crispin Place,"
Jerk & Beyond ",2019
156,"25th, 26th and 27th May 2019",TW8 8JF,"London Road, Brentford","
Foodies Festival, Syon Park ",2019
157,25th - 30th May 2019,WC2E 9DD,"Bow Street, Covent Garden","
Cas Public: 9 ",2019
158,Sunday 26th May 2019,SE15 3UA,Strakers Road,"
Gala Festival ",2019
159,Monday 27th May 2019,SE15 3UA,Strakers Road,"
KERB: Jam on Rye ",2019
160,28th May to 1st Jun 2019,W1F 7TF,8 Argyll Street,"
Sergei Polunin ",2019
161,30th May to 1st September 2019,EC2 8DS,Silk Street,"
Lee Krasner: Living Colour ",2019
162,30th May 2019 to 26th January 2020,NW1 2BE,183 Euston Road,"
Jo Spence and Oreet Ashery: Misbehaving Bodies ",2019
163,30th May to 1st September 2019,SE1 2JX,203 Tooley Street,"
London Bridge City: Summer by the River ",2019
164,"31st May, 1st June and 2nd June 2019",E17 4JF,Forest Road,"
The Ends Festival ",2019
165,Various Venues,WC2N 5DW,London,"
London Festival of Architecture ",2019
166,3rd June to 25th August 2019,E1 7QX,77-82 Whitechapel High Street,"
Michael Rakowitz ",2019
167,3rd June to 31st August 2019,SE1 2SG,3 Potters Fields Park,"
A Midsummer Night's Dream ",2019
168,4th June to 3rd August 2019,W8 6LU,Holland Park,"
Opera Holland Park ",2019
169,5th June to 22nd September 2019,XX1 0LL,Central London,"
Secret Cinema: Casino Royale ",2019
170,05th - 08th June 2019,WC2E 9DD,"Bow Street, Covent Garden","
Muziektheater Transparant: The Diary Of One Who Disappeared ",2019
171,6th to 16th June 2019,SW7 2AP,Kensington Gore,"
English National Ballet: Cinderella in-the-round ",2019
172,7th June to 28th August 2019,WC2H 0HH,2 Charing Cross Road,"
Bitter Wheat ",2019
173,7th to 21st June 2019,KT8 9AU,"East Molesey, Surrey","
Hampton Court Palace Festival ",2019
174,Friday 7th and Saturday 8th June 2019,N18 3BW,Argon Road Enfield,"
Field Day ",2019
175,7th June to 8th September 2019,NW1 2DB,96 Euston Road,"
Leonardo da Vinci: A Mind in Motion ",2019
176,"7th, 8th and 9th June 2019",SW6 3NG,Hurlingham Road,"
Polo in the Park ",2019
177,Friday 7th and Saturday 8th June 2019,TW8 9JX,"Boston Manor Road, Brentford","
Junction 2 ",2019
178,7th June to 26th July 2019,NW1 4RY,Regent's Park Outer Circle,"
Zoo Nights ",2019
179,Various Venues,WC2N 5DW,London,"
Open Garden Squares Weekend ",2019
180,08th June 2019,WC2E 9DD,Bow Street,"
Margot Fonteyn: A Celebration ",2019
181,Saturday 8th June 2019,SW1A 2AX,Whitehall,"
Trooping the Colour ",2019
182,Saturday 8th June 2019,NW1 4NR,Inner Circle,"
World Naked Bike Ride ",2019
183,10th June to 12th August 2019,W1J 0BD,Burlington House,"
Royal Academy Summer Exhibition ",2019
184,12th June to 8th September 2019,SE1 8XZ,Belvedere Road,"
Kiss My Genders ",2019
185,12th to 16th Jun 2019,SW8 4NN,"Circus West, Sopwith Way","
London Seafood Festival ",2019
186,"13th, 14th and 15th June 2019",HA9 0WS,Wembley,"
Spice Girls ",2019
187,Thursday 13th and Friday 14th June 2019,SW3 4SR,Royal Hospital Road,"
Live At Chelsea ",2019
188,13th June to 20th October 2019,WC2H 0HE,St Martin's Place,"
BP Portrait Award 2019 ",2019
189,"14th, 15th and 16th June 2019",NW3 7JR,"Hampstead Lane, Hampstead","
Heritage Live Concerts: Kenwood House ",2019
190,Saturday 15th June 2019,W12 7LJ,310 Uxbridge Road,"
Bushstock Festival ",2019
191,15th June to 12th October 2019,WC2H 9ND,West Street,"
The Secret Diary Of Adrian Mole Aged 13 3/4: The Musical ",2019
192,19th to 23rd Jun 2019,NW1 4NR,Inner Circle,"
Taste of London ",2019
193,19th to 23rd Jun 2019,W14 8UX,Hammersmith Road,"
House & Garden Festival ",2019
194,19th to 28th June 2019,W14 8UX,Hammersmith Road,"
The Art & Antiques Fair Olympia ",2019
195,19th June - 03rd July 2019,WC2E 9DD,Bow Street,"
Royal Opera: Boris Godunov ",2019
196,19th to 23rd Jun 2019,W14 8UX,Hammersmith Road,"
HOUSE & GROW London ",2019
197,19th June to 14th September 2019,WC2H 7BX,6 Leicester Place,"
Sh!t-faced Shakespeare: Hamlet ",2019
198,19th to 23rd Jun 2019,W14 8UX,Hammersmith Road,"
Spirit of Summer Fair ",2019
199,Saturday 22nd June 2019,E17 7JN,High Street,"
Art Night 2019 ",2019
200,Saturday 22nd June 2019,SW1X 9DQ,5 Sloane Terrace,"
Michael Palin: Erebus: The Story Of A Ship ",2019
201,22nd June - 20th July 2019,WC2E 9DD,Bow Street,"
Royal Opera: Carmen ",2019
202,Saturday 22nd and Sunday 23rd June 2019,WC2N 5DS,Central London,"
West End LIVE ",2019
203,27th June to 8th September 2019,W1F 7TF,8 Argyll Street,"
Joseph and the Amazing Technicolor Dreamcoat ",2019
204,27th June to 8th October 2019,SE1 8XZ,South Bank,"
Peter Gynt ",2019
205,27th June to 8th July 2019,W4 2RP,Burlington Lane,"
Giffords Circus: Xanadu ",2019
206,27th Jun to 3rd Jul 2019,SW3 4SR,Royal Hospital Road,"
Masterpiece London ",2019
207,28th June to 27th July 2019,NW1 4NR,"Inner Circle, Regent's Park","
A Midsummer Night's Dream: Open Air Theatre ",2019
208,Sunday 30th June 2019,E16 2QT,Docklands Road,"
London Hong Kong Dragon Boat Festival ",2019
209,Sunday 30th June 2019,N4 1EE,Endymion Road,"
Community Festival ",2019
210,1st to 7th Jul 2019,KT8 9AU,"East Molesey, Surrey","
RHS Hampton Court Palace Garden Festival ",2019
211,1st to 7th Jul 2019,SE10 9LW,King William Walk,"
Greenwich Music Time ",2019
212,1st to 14th July 2019,SW19 5AE,Church Road,"
Wimbledon Lawn Tennis Championships 2019 ",2019
213,4th July to 24th August 2019,EC2Y 8DS,Silk Street,"
Jesus Christ Superstar ",2019
214,"5th, 6th and 7th July 2019",N4 1EE,Endymion Road,"
Wireless Festival ",2019
215,5th July to 4th August 2019,SE1 9PX,"South Bank, South Bank","
River Stage Festival ",2019
216,6th July to 28th September 2019,WC2N 4AU,St Martin's Lane,"
The Night Of The Iguana ",2019
217,Saturday 6th July 2019,WC2N 5DS,Central London,"
Pride in London Parade ",2019
218,Saturday 6th July 2019,SW7 2AP,Kensington Gore,"
Hacienda Classical ",2019
219,7th to 28th July 2019,W1B 5SJ,Regent Street,"
Regent Street Summer Streets ",2019
220,9th to 14th Jul 2019,TW9 3AB,"Kew, Richmond","
Kew the Music ",2019
221,11th July 2019 to 5th January 2020,SE1 9TG,"Bankside Power Station, 25 Sumner Street","
Olafur Eliasson: In Real Life ",2019
222,11th to 28th July 2019,WC2R 1LA,Strand,"
The World Illustration Awards ",2019
223,11th to 21st July 2019,WC2R 1LA,Strand,"
Somerset House Summer Series ",2019
224,"12th, 13th and 14th July 2019",W2 2UH,Rangers Lodge,"
British Summer Time Hyde Park ",2019
225,Friday 12th and Saturday 13th July 2019,W3 8LQ,Popes Lane,"
Lovebox ",2019
226,"12th, 13th and 14th July 2019",W4 2RP,Burlington Lane,"
Great British Food Festival ",2019
227,Saturday 13th and Sunday 14th July 2019,SE3 0UA,Shooters Hill Road,"
OnBlackheath 2019 ",2019
228,Saturday 13th and Sunday 14th July 2019,E17 4JF,Forest Road,"
Walthamstow Garden Party ",2019
229,Sunday 14th July 2019,SW1Y 4HT,Haymarket,"
Ed Sheeran Live at The Haymarket ",2019
230,16th to 28th July 2019,E1W 1LA,"Tower Bridge Approach, St Katharine's Way","
Floating Film Festival ",2019
231,18th July to 24th August 2019,NW1 8EH,Chalk Farm Road,"
Barber Shop Chronicles ",2019
232,18th July to 25th August 2019,NW1 8EH,Chalk Farm Road,"
Backyard Cinema: L.A. Nights ",2019
233,19th July 2019 to 5th January 2020,SE10 9NF,Park Row,"
The Moon ",2019
234,Various Venues,WC2N 5DW,London,"
National Park City Festival ",2019
235,20th July to 29th September 2019,SW1A 1AA,Buckingham Palace Road,"
Summer Opening of the State Rooms at Buckingham Palace ",2019
236,Saturday 20th and Sunday 21st July 2019,N1 0QH,52 Upper Street,"
National Geographic Traveller Food Festival ",2019
237,Saturday 20th and Sunday 21st July 2019,TW9 3AB,"Kew, Richmond","
Kew Science Festival ",2019
238,23rd July to 2nd August 2019,SE1 8XX,Belvedere Road,"
Jean Paul Gaultier: Fashion Freak Show ",2019
239,29th July to 24th August 2019,SE1 8LZ,66 The Cut,"
Tree ",2019
